id,req_id,category,formalized_text,feature_group,original_text,assumptions,constraints,dependencies,detail_analysis,priority,validation_criteria
1925,REQ-CSVC-013,Functional,"The OPC client system shall be capable of providing retrieved historical data (conforming to a defined model: timestamp, tag identifier, value, quality, metadata) for ingestion into a designated time-series database. This data provision shall support optimized batching or streaming and include configurable validation rules (e.g., timestamp sanity checks, value range checks) before data is passed for ingestion.",Core OPC Client Services,Historical data and alarm/event logs will be stored in a suitable time-series database... Data ingestion into the time-series database will be handled via optimized batching mechanisms or streaming connectors... with configurable data validation rules...,,,,FALSE,high,
1926,REQ-CSVC-014,NonFunctional,"The OPC client library/service, when interacting with an OPC HDA server, shall facilitate historical data queries such that retrieving a 1-day time range of data for 100 tags completes in less than 2 seconds (P95), assuming adequate OPC HDA server and network performance.",Core OPC Client Services,"Query response times for a 1-day range of 100 tags should be less than 2 seconds, utilizing native query languages like Flux for InfluxDB or SQL for TimescaleDB.",,,,FALSE,high,
1927,REQ-CSVC-015,Functional,"The OPC client library/service shall implement error handling for OPC HDA queries, providing clear status codes and descriptive messages to the calling application for failures such as data not found for the specified range, query timeout, or invalid aggregation parameters.",Core OPC Client Services,"Error handling for HDA queries (e.g., data not found for the specified range, query timeout, invalid aggregation parameters) will provide informative feedback.",,,,FALSE,high,
1928,REQ-CSVC-016,Functional,"The system shall provide capabilities or documented procedures and tools to support the migration of existing historical data from other systems (e.g., proprietary historians, SQL databases) into the system's designated time-series database. This includes support for data extraction, transformation (e.g., timestamp normalization, tag mapping, unit conversion), loading, and validation of migrated data.",Core OPC Client Services,"For customers with existing historical data in other systems... a comprehensive data migration plan will be developed. This includes defining procedures for data extraction, transformation... loading... and rigorous validation...",,,,FALSE,medium,
1929,REQ-CSVC-017,Functional,The OPC client library/service shall support the OPC Alarms and Conditions (A&C) specification for receiving and managing alarm and event notifications from OPC A&C servers. This includes enabling client applications to interact with alarm states such as prioritization and suppression.,Core OPC Client Services,"Supports the OPC Alarms and Conditions specification, enabling prioritization, suppression, and logging of alerts.",,,,FALSE,high,
1930,REQ-CSVC-018,Functional,"The OPC client library/service shall support alarm acknowledgement operations as defined by the OPC A&C specification. Received alarm records must contain at least: timestamp of occurrence, source node, event type, severity, condition name, message, acknowledged state, and timestamp of acknowledgment/return-to-normal. The service must support passing user identification and acknowledgement comments if provided by the calling application.",Core OPC Client Services,"Provides a user interface for acknowledging alarms. Alarm records will include at least: timestamp of occurrence, source node, event type, severity, condition name, message, acknowledged state, and timestamp of acknowledgment/return-to-normal.",,,,FALSE,high,
1931,REQ-CSVC-019,Functional,The OPC client system shall be capable of providing received alarm and event data for ingestion into a designated time-series database. Incoming alarm and event data from OPC A&C servers shall be validated by the client service to ensure required fields (as per REQ-CSVC-018) are present before provision for storage.,Core OPC Client Services,"Alarm and event data will be stored in a time-series database... Data validation rules for incoming alarm and event data (e.g., ensuring required fields are present) will be implemented.",,,,FALSE,high,
1932,REQ-CSVC-020,Functional,"The OPC client service shall generate distinct events or messages for alarms that can be consumed by higher-level system components to trigger configurable notification mechanisms (e.g., UI alerts, email, SMS) and to implement configurable alarm escalation policies for unacknowledged critical alarms.",Core OPC Client Services,The system will support configurable notification mechanisms for alarms... The system will support configurable alarm escalation policies for unacknowledged critical alarms.,,,,FALSE,high,
1933,REQ-CSVC-021,Functional,"The system shall ensure that all alarm lifecycle changes managed or initiated through the OPC client (e.g., acknowledgements, suppressions requested by the client) are auditable. This may involve the client service providing necessary data to a centralized audit logging mechanism.",Core OPC Client Services,"An audit trail will be maintained for all alarm lifecycle changes, including acknowledgments, suppressions, and configuration modifications.",,,,FALSE,high,
1934,REQ-CSVC-022,Functional,The system shall provide capabilities or documented procedures and tools to support the migration of existing alarm and event logs from legacy systems into the system's designated time-series database. This includes support for schema mapping and validation of migrated A&E data.,Core OPC Client Services,"Procedures for migrating existing alarm and event logs from legacy systems into the new time-series database will be defined, including schema mapping and validation, to ensure continuity of historical alarm analysis.",,,,FALSE,medium,
1935,REQ-CSVC-023,Functional,"The OPC client library/service shall support OPC UA subscriptions to monitored items for receiving real-time data changes and event notifications from OPC UA servers, reducing polling overhead. The service shall allow configuration of subscription parameters, including sampling interval, publishing interval, queue size, and deadbands for monitored items.",Core OPC Client Services,"Supports monitored items and notifications, reducing polling overhead. Configurable update rates for efficiency.",,,,FALSE,high,
1936,REQ-CSVC-024,NonFunctional,"The OPC client library/service shall ensure that subscription update notifications are delivered from the OPC UA server to the client application logic with a P99 latency of less than 100ms, under defined load conditions.",Core OPC Client Services,Subscription update delivery time should be less than 100ms (P99) from server to client application.,,,,FALSE,high,
1937,REQ-CSVC-025,Functional,"The OPC client library/service shall support OPC UA subscriptions over standard transport protocols, including OPC UA TCP (binary) and WebSockets with PubSub (using JSON or UADP encoding as specified by OPC UA standards).",Core OPC Client Services,"Underlying transport protocols for OPC UA subscriptions (e.g., OPC UA TCP, WebSockets with PubSub using JSON or UADP encoding) will be supported.",,,,FALSE,high,
1938,REQ-CSVC-026,Functional,"The OPC client library/service shall automatically detect subscription loss (e.g., due to network issues, server restart) and attempt to re-establish lost subscriptions. The service shall support client-side buffering of critical subscription data during short interruptions (configurable duration) to prevent data loss, and perform data integrity checks on buffered data upon successful re-establishment.",Core OPC Client Services,"Clear mechanisms will be in place for handling subscription loss (e.g., due to network issues or server restart) and automatically attempting re-establishment, including buffering of critical subscription data on the client-side where feasible to prevent data loss during short interruptions. Data integrity checks for buffered data upon re-establishment will be performed.",,,,FALSE,high,
1939,REQ-CSVC-027,Functional,"The system shall provide a mechanism or documented procedure to import existing subscription configurations (including monitored items, update rates, deadbands) from common legacy OPC client formats or spreadsheets, where feasible, to minimize reconfiguration effort.",Core OPC Client Services,"A method for migrating existing subscription configurations (monitored items, update rates, deadbands) from legacy OPC clients will be provided, where feasible, to minimize reconfiguration effort.",,,,FALSE,medium,
1940,REQ-CSVC-028,Functional,"The OPC client service shall provide status information regarding the health of subscriptions, including explicit indication of critical subscription loss, enabling higher-level system components to trigger alerts to operators or system administrators as per defined notification policies.",Core OPC Client Services,Loss of critical subscriptions must trigger an alert to operators or system administrators as per defined notification policies.,,,,FALSE,high,
1941,REQ-SAP-001,Technical,"The system MUST implement a hybrid architecture consisting of a core OPC client library/service and a separate server-side application. The core OPC client library/service MUST be developed using .NET 6 (or a later version) and MUST support cross-platform deployment on Windows, Linux, and macOS.",System Architecture & Platform,"The system will be built upon a hybrid architecture. This includes a core OPC client library/service developed using .NET 6+ for cross-platform compatibility (Windows, Linux, macOS).",,,,FALSE,high,
1942,REQ-SAP-002,Functional,"The server-side application MUST be developed using ASP.NET Core and MUST provide functionalities for centralized management, backend AI processing, and automated reporting services. It MUST also serve the web-based User Interface and expose RESTful APIs or gRPC endpoints for inter-service and external client communication.",System Architecture & Platform,"For advanced functionalities, a separate server-side application (e.g., built with ASP.NET Core using RESTful APIs or gRPC for inter-service communication [Essential for defining how different parts of the system and external clients interact with the backend]) will support centralized management, backend AI processing, automated reporting services, and will serve a web-based User Interface.",,,,FALSE,high,
1943,REQ-SAP-003,Technical,"The system MUST utilize gRPC for synchronous request/response interactions and message queues (e.g., RabbitMQ, Kafka) for asynchronous eventing between the core OPC client library/service and the server-side application. These communication protocols MUST be implemented to be efficient and secure.",System Architecture & Platform,"Communication between the core library/service and the server-side application will utilize efficient and secure protocols like gRPC or message queues (e.g., RabbitMQ, Kafka) depending on the interaction pattern (e.g., synchronous request/response vs. asynchronous eventing) [Essential for defining the internal system architecture and ensuring efficient, secure communication between components].",,,,FALSE,high,
1944,REQ-SAP-004,Technical,The system MUST use Protocol Buffers (Protobuf) as the data serialization format for all gRPC-based communication. JSON MUST be used as the data serialization format for all RESTful API communication.,System Architecture & Platform,Data serialization formats such as Protocol Buffers (Protobuf) for gRPC and JSON for RESTful APIs will be utilized.,,,,FALSE,high,
1945,REQ-SAP-005,Technical,"The system design documentation MUST include clearly defined data models for all inter-service communication. This includes message schemas for message queues and contract definitions (e.g., OpenAPI specifications for REST APIs, .proto files for gRPC) for all exposed APIs.",System Architecture & Platform,"Data models for inter-service communication, including message schemas for queues and contract definitions for APIs, will be clearly defined.",,,,FALSE,high,
1946,REQ-SAP-006,NonFunctional,"The system architecture MUST be modular, logically separating the core OPC client library/service, the server-side application, and its primary functional components (e.g., management, AI processing, reporting, UI services) to support independent scalability and enhance overall system maintainability.",System Architecture & Platform,This modular design ensures scalability and maintainability.,,,,FALSE,high,
1947,REQ-SAP-007,Technical,"The system's deployment methodology MUST support a phased rollout, enabling initial deployment and operation of core OPC client functionalities, followed by the incremental deployment of server-side components and subsequently advanced features.",System Architecture & Platform,"Deployment will follow a phased approach, potentially starting with core client functionalities followed by server-side components and advanced features.",,,,FALSE,medium,
1948,REQ-SAP-008,Technical,"The project execution plan MUST incorporate a pilot program conducted at selected customer sites. This program's objective is to validate the system architecture, core functionalities, and performance in a representative real-world industrial automation environment prior to wider deployment.",System Architecture & Platform,A pilot program with selected customer sites may be utilized to validate the architecture in a real-world environment before broader rollout.,,,,FALSE,medium,
1949,REQ-SAP-009,Functional,"The system MUST provide a documented strategy, and may include supporting tools or scripts, for migrating client configurations from common existing OPC client solutions to the new system's configuration database. This strategy MUST detail data mapping, transformation logic (if required), and procedures for validating migrated configurations.",System Architecture & Platform,"For customers transitioning from existing OPC client solutions, a strategy for migrating client configurations (e.g., server connection details, initial tag sets) to the new system's configuration database will be provided. This includes defining data mapping, transformation logic if needed, and validation procedures.",,,,FALSE,high,
1950,REQ-SAP-010,NonFunctional,The system MUST be designed to coexist and operate concurrently with existing legacy OPC client instances during a phased rollout period. This coexistence MUST NOT cause disruption to critical industrial operations reliant on these legacy clients or the shared OPC servers.,System Architecture & Platform,"During the transition period, the system must coexist with legacy OPC client instances if a phased rollout is adopted, ensuring no disruption to critical operations.",,,,FALSE,high,
1951,REQ-SAP-011,Technical,"The project deliverables MUST include clear, documented plans and procedures for the eventual and safe decommissioning of legacy OPC client systems that are replaced by the new system.",System Architecture & Platform,Clear plans for the eventual decommissioning of replaced legacy systems will be established.,,,,FALSE,medium,
1952,REQ-SAP-012,NonFunctional,"The system's design, development, deployment, and operational processes MUST adhere to the customer organization's documented existing enterprise architecture standards and IT governance policies applicable to new system deployments.",System Architecture & Platform,Adherence to the organization's existing enterprise architecture standards and IT governance policies for new system deployments must be ensured.,,,,FALSE,high,
1953,REQ-SAP-013,NonFunctional,"The official system documentation MUST clearly specify the minimum supported versions for each target operating system, including Windows (e.g., Windows 10, Windows Server 2016 or later), specific Linux distributions (e.g., Ubuntu LTS, RHEL), and macOS versions.",System Architecture & Platform,"Minimum supported OS versions will be documented (e.g., Windows 10 / Server 2016+, specific Linux distributions like Ubuntu LTS, RHEL, and macOS versions).",,,,FALSE,high,
1954,REQ-SAP-014,NonFunctional,"The official system documentation MUST provide typical resource requirements (CPU, RAM, disk space, network bandwidth) for both core OPC client instances and server-side application components. These requirements MUST be detailed for different deployment scales (e.g., small, medium, large, or based on tag count/user load).",System Architecture & Platform,"Typical resource requirements (CPU, RAM, disk space, network bandwidth) for client instances and server components will be provided for different deployment scales and documented.",,,,FALSE,high,
1955,REQ-SAP-015,Technical,"The system architecture MUST support hybrid cloud deployment models. This includes the capability for client management, backend AI processing, and other server-side application components to run in a cloud environment, while the core OPC client instance (deployable in a VM or container) operates on-premises and connects to local OPC servers.",System Architecture & Platform,"Cloud deployment models will be supported, allowing client management and AI components to run in the cloud, while the OPC client instance (potentially in a VM or container) connects to on-premises OPC servers...",,,,FALSE,high,
1956,REQ-SAP-016,Technical,"In hybrid cloud deployment models, all communication between on-premises OPC client instances and cloud-hosted server-side components MUST be conducted over a secure channel. The system or its deployment guide MUST support or recommend configurations for establishing such secure channels (e.g., site-to-site VPN, Azure ExpressRoute, AWS Direct Connect, or secure tunneling protocols like WireGuard/OpenVPN).",System Architecture & Platform,"...via a secure channel (e.g., site-to-site VPN, Azure ExpressRoute, AWS Direct Connect, or secure tunneling protocols like WireGuard/OpenVPN [Critical for secure hybrid cloud deployments]).",,,,FALSE,high,
1957,REQ-SAP-017,Technical,"The system components, including the core OPC client library/service and modules of the server-side application, MUST be deployable using Docker containers. Official Docker images or comprehensive build scripts for creating these images MUST be provided.",System Architecture & Platform,Docker will be recommended for containerization...,,,,FALSE,high,
1958,REQ-SAP-018,Technical,"The system's containerized components MUST be designed for compatibility with container orchestration platforms such as Kubernetes or Docker Swarm. For Kubernetes, deployment guides, manifests, or Helm charts SHOULD be provided to facilitate orchestration, particularly for larger deployments or microservice elements of the server-side application.",System Architecture & Platform,...with considerations for Kubernetes or Docker Swarm for orchestration in larger deployments or microservice-based components.,,,,FALSE,medium,
1959,REQ-SAP-019,Technical,"The project MUST provide Infrastructure as Code (IaC) scripts or templates, using tools such as Terraform, Pulumi, Azure Bicep/ARM Templates, or AWS CloudFormation, to enable automated, repeatable, and manageable provisioning of the system's required cloud-based infrastructure components.",System Architecture & Platform,"Infrastructure as Code (IaC) tools (e.g., Terraform, Pulumi, Bicep/ARM Templates, CloudFormation) will be utilized for managing and provisioning cloud deployments [Ensures repeatable and manageable cloud infrastructure provisioning].",,,,FALSE,high,
1960,REQ-SAP-020,Technical,"As part of the implementation process, pilot deployments of the core OPC client library/service MUST be conducted on each supported target operating system (Windows, Linux, macOS) within the customer's specific IT environment. These pilots aim to validate platform-specific dependencies, integration, and performance characteristics.",System Architecture & Platform,A pilot deployment on each target operating system within the customer's environment will be conducted to validate platform-specific dependencies and performance.,,,,FALSE,medium,
1961,REQ-SAP-021,Technical,"The provided Infrastructure as Code (IaC) templates for cloud deployments MUST be designed to be customizable to accommodate specific customer cloud subscription details, existing networking topology, and security policies.",System Architecture & Platform,"For cloud deployments, IaC templates will be customized to fit the customer's cloud subscription and networking topology.",,,,FALSE,medium,
1962,REQ-SAP-022,Technical,"The project MUST provide documented, detailed cutover plans for scenarios involving the migration of OPC client instances from one operating system to another (e.g., Windows to Linux). These plans MUST include procedures for secure configuration transfer, comprehensive pre- and post-migration testing, and clearly defined rollback mechanisms.",System Architecture & Platform,"If migrating client instances between operating systems (e.g., from an old Windows-based client to a new Linux-based instance), detailed cutover plans including configuration transfer, testing, and rollback procedures are required.",,,,FALSE,medium,
1963,REQ-SAP-023,NonFunctional,"All system deployments, whether on-premises or in the cloud, MUST comply with the customer's documented organizational IT infrastructure standards. This includes adherence to approved operating system versions, security patching levels, and any applicable containerization policies.",System Architecture & Platform,"All deployments must comply with the customer's organizational IT infrastructure standards, including approved OS versions, patching levels, and containerization policies.",,,,FALSE,high,
1964,REQ-SAP-024,NonFunctional,"The actual system resources (CPU, RAM, disk, network) allocated for deployed core OPC client instances and server-side application components MUST align with the officially documented resource requirements for the intended scale and load. The system or associated monitoring tools MUST facilitate monitoring of these allocated resources to help ensure that performance Service Level Agreements (SLAs) are consistently met.",System Architecture & Platform,Resource allocation for client instances and server components must align with documented requirements and be monitored to ensure performance SLAs are met.,,,,FALSE,high,
1965,REQ-3-001,Functional,"The system shall implement OPC UA standard security mechanisms, including certificate-based authentication, message signing, user authentication as per OPC UA specifications, and 128/256-bit encryption for all OPC UA communication.",Security & Access Control,"Implements certificate-based authentication, 128/256-bit encryption (e.g., AES-256 for data at rest), message signing, and user authentication per OPC UA standards.",,,,FALSE,high,
1966,REQ-3-002,NonFunctional,"The system shall encrypt all sensitive data at rest, including user configurations, designated sensitive data in relational databases, alarm/event logs, and historical process values in specialized databases, using AES-256 or an equivalently strong encryption algorithm.",Security & Access Control,"AES-256 for data at rest...User configurations and other specifically designated sensitive data will be stored using a relational database...with appropriate security measures including encryption at rest. Other categories of data that may be sensitive, such as alarm/event logs or historical process values, will be stored in their respective specialized databases...with security measures equivalent...ensuring consistent and robust security across all data stores handling sensitive information.",,,,FALSE,high,
1967,REQ-3-003,Functional,"The system shall implement a Role-Based Access Control (RBAC) mechanism to govern access to system functionalities and data. It shall provide predefined, customizable roles (e.g., Administrator, Engineer, Operator, Viewer) with defined permission sets. All user and role management actions shall be logged.",Security & Access Control,"Supports role-based access control (RBAC)...The system will provide a set of predefined default roles (e.g., Administrator, Engineer, Operator, Viewer) with typical permission sets, which can be customized. The data model for user roles and permissions will be defined. All user management actions (creation, deletion, role changes, permission modifications) will be logged in an audit trail.",,,,FALSE,high,
1968,REQ-3-004,Functional,"The system shall support integration with external Identity Providers (IdPs) such as Keycloak, Azure AD, or Okta, using OAuth 2.0/OpenID Connect protocols for user authentication and authorization to the web UI and APIs. Configuration shall allow defining scopes, claims, and redirect URIs.",Security & Access Control,"potentially integrated with an Identity Provider (IdP) using OAuth 2.0/OpenID Connect (e.g., Keycloak, Azure AD, Okta) for managing user identities and access to the web UI and APIs. Integration with an existing corporate IdP will require collaborative planning...including defining scopes, claims, and redirect URIs. A pilot integration phase is recommended.",,,,FALSE,high,
1969,REQ-3-005,Functional,"The system shall provide an internal user management system with configurable password policies, including minimum length, complexity requirements (e.g., uppercase, lowercase, numbers, symbols), password history enforcement, and account lockout after multiple failed attempts, if an external IdP is not used or used in conjunction.",Security & Access Control,"If an internal user management system is utilized...it will enforce configurable password policies (e.g., complexity, length, history, expiration).",,,,FALSE,high,
1970,REQ-3-006,NonFunctional,"The system shall implement secure cryptographic key management procedures for all keys used (e.g., for data encryption, message signing), including cryptographically secure generation, secure storage (e.g., HSM, secure vault), periodic rotation, and timely revocation, adhering to industry best practices.",Security & Access Control,"Key management procedures will be established for managing cryptographic keys, including generation, storage, rotation, and revocation, adhering to industry best practices.",,,,FALSE,high,
1971,REQ-3-007,NonFunctional,"The system shall employ secure credential management for its internal components and communications with external services, utilizing mechanisms such as Hardware Security Modules (HSMs) where appropriate, or managed identity services (e.g., Azure Managed Identities, AWS IAM Roles) for cloud-deployed resources, avoiding hardcoded credentials.",Security & Access Control,"Additionally, the system will incorporate secure credential management (e.g., using hardware security modules where appropriate, or managed identity services like Azure Managed Identities or AWS IAM Roles for cloud resources)",,,,FALSE,high,
1972,REQ-3-008,Functional,"The system shall ensure the integrity of AI models (e.g., through checksums, digital signatures) to prevent unauthorized modification and implement access controls to manage deployment, configuration, and interaction with AI models and their outputs based on user roles.",Security & Access Control,ensure AI model integrity and implement access controls for AI models,,,,FALSE,medium,
1973,REQ-3-009,NonFunctional,"The system shall ensure end-to-end encryption using strong, current cryptographic protocols (e.g., TLS 1.2+ with strong cipher suites) for all communications between client instances/users and the centralized management interface.",Security & Access Control,provide end-to-end encryption for communications with the centralized management interface.,,,,FALSE,high,
1974,REQ-3-010,Functional,"The system's server-side application endpoints (e.g., RESTful APIs, gRPC services) shall be protected using robust authentication methods, such as JSON Web Tokens (JWT) with proper validation (signature, expiry, audience) or securely managed API Keys.",Security & Access Control,"Secure API authentication methods (e.g., JWT, API Keys) will be used for server-side application endpoints [Essential for protecting backend services].",,,,FALSE,high,
1975,REQ-3-011,NonFunctional,"The system shall be designed to support and facilitate regular security audits. It must provide mechanisms for designated personnel to review and audit access rights, security configurations (including firewall rules for inter-service communication), and compliance with security policies periodically.",Security & Access Control,"Regular security audits will be mandated. Access rights and security configurations (including firewall rules for service communication) must be reviewed and audited periodically (e.g., quarterly or annually) by designated security personnel, in line with organizational policy.",,,,FALSE,medium,
1976,REQ-3-012,Functional,"The system shall implement comprehensive and immutable audit logging to capture security-relevant events. This includes, but is not limited to, successful and failed login attempts, authorization changes (e.g., role assignments, permission modifications), administrative actions (e.g., system configuration changes), and access to data classified as sensitive. Logs must include timestamp, user identity, action performed, outcome, and relevant resource identifiers.",Security & Access Control,"Comprehensive audit logging will capture security-relevant events, including login attempts (successful and failed), authorization changes, administrative actions, and access to sensitive data.",,,,FALSE,high,
1977,REQ-3-013,Functional,"The system shall support data classification (e.g., Confidential, Restricted, Internal, Public) for data it manages. Appropriate protection mechanisms, such as access controls and encryption, shall be applied based on these classifications, ensuring least privilege access.",Security & Access Control,"Data will be classified (e.g., Confidential, Restricted, Internal, Public), and protection mechanisms will be applied accordingly.",,,,FALSE,medium,
1978,REQ-3-014,Functional,"The system shall be designed to facilitate compliance with applicable data privacy regulations (e.g., GDPR, CCPA). It must provide documented procedures and, where feasible, tools to support Data Subject Access Requests (DSARs), including the right to access, rectify, and request erasure or anonymization of personal data stored within its user management system and relevant audit logs, subject to legal retention requirements.",Security & Access Control,"Compliance with relevant data privacy regulations (e.g., GDPR, CCPA...)...The system must provide mechanisms to support data subject access requests (DSAR) and the right to erasure/anonymization for personal data stored within its user management or audit log components, as mandated by GDPR/CCPA.",,,,FALSE,high,
1979,REQ-3-015,Functional,"The system shall provide capabilities for data masking or anonymization of sensitive data. This functionality should be available for use in non-production environments (e.g., development, testing) or for specific use cases requiring de-identified data, ensuring that original sensitive information is not exposed.",Security & Access Control,"Where applicable for non-production environments or specific use cases, data masking or anonymization techniques will be available for sensitive data.",,,,FALSE,medium,
1980,REQ-3-016,Technical,"The system shall support or provide documented strategies for user data migration. This includes mapping existing user accounts and permissions to IdP identities when transitioning to an IdP, and defining processes for secure migration of user credentials (if compliant) or a mandatory password reset process when transitioning between internal user management systems.",Security & Access Control,"If migrating from a system with local user management to an IdP-integrated solution, a strategy for mapping existing user accounts and permissions to IdP identities will be required. For transitions between internal user management systems, secure migration of user credentials (if possible and compliant) or a password reset process will be defined.",,,,FALSE,medium,
1981,REQ-3-017,NonFunctional,"The solution shall include provisions for security-focused training materials and documentation. Administrator training materials shall cover RBAC management, IdP integration procedures, certificate lifecycle management, and interpretation of security audit logs. User training materials shall cover secure login procedures, password management best practices, and awareness of social engineering threats.",Security & Access Control,"Administrators will require training on managing RBAC, IdP integration, certificate management, and interpreting security audit logs. Users will be trained on secure login procedures and password policies.",,,,FALSE,medium,
1982,REQ-3-018,NonFunctional,The system's operational documentation and recommended procedures shall require that all detected security incidents or vulnerabilities related to the OPC client system are reported and managed in accordance with the customer organization's established incident response plan. The system should facilitate this by providing relevant logs and diagnostic information.,Security & Access Control,All security incidents or detected vulnerabilities must be reported and managed according to the organization's established incident response plan.,,,,FALSE,high,
1983,REQ-UIX-001,NonFunctional,"The system shall provide an intuitive Graphical User Interface (GUI) for configuration and monitoring.
The UI technology shall support cross-platform deployment.
Web-based UI components shall adhere to WCAG 2.1 Level AA accessibility standards; desktop UI (if any) shall adhere to platform-specific accessibility guidelines.
Both web and desktop UIs shall support comprehensive keyboard navigation and screen reader compatibility.
The UI shall be responsive, adapting to screen sizes from standard desktop monitors to tablet displays.
The UI shall integrate user feedback mechanisms: progress indicators, success/error messages, and contextual help.",User Interface & Experience (UI/UX),"Offers an intuitive GUI for configuration and monitoring. The UI technology will be chosen to support cross-platform deployment and accessibility. The interface will adhere to WCAG 2.1 Level AA accessibility standards for web-based components and platform-specific accessibility guidelines for desktop applications, including comprehensive keyboard navigation and screen reader compatibility. The UI will be designed for responsiveness across various screen sizes and resolutions, from standard desktop monitors to tablet displays. User feedback mechanisms, such as progress indicators, success/error messages, and contextual help, will be integrated throughout the UI.",,,,FALSE,high,
